"geography_name","sex_name","age_code","age_name","year","N","source","mean_pcs","mean_mcs","mean_pcs_wt","mean_mcs_wt","eq5d_util_lf_6v_wt"
"London","Male",84,"80-84",2019,30,"US",40.7113333333333,52.1536666666667,40.7274594452765,52.4297447729582,0.759179887815479
"London","Male",85,"85_plus",2019,17,"US",35.0952941176471,50.5464705882353,37.9148762269953,52.7366263559989,0.729818991978156
"North East","Female",20,"under_20",2019,48,"US",54.394375,39.9754166666667,55.0084724081025,38.2913819901948,0.800671020926123
"North East","Female",24,"20-24",2019,34,"US",54.7014705882353,46.3908823529412,57.9575583800631,41.9326702394563,0.889180076641555
"North East","Female",29,"25-29",2019,38,"US",54.3763157894737,43.5457894736842,56.3297306369688,45.142735682942,0.89027978764504
"North East","Female",34,"30-34",2019,36,"US",52.5672222222222,44.0755555555556,54.6697605916049,41.3631982248809,0.827545886602488
"North East","Female",39,"35-39",2019,48,"US",54.7477083333333,46.1354166666667,53.6960104389062,46.8175872997898,0.864151234194318
"North East","Female",44,"40-44",2019,40,"US",51.1645,44.328,52.8165950894095,44.6175807597033,0.831538910501543
"North East","Female",49,"45-49",2019,57,"US",49.3250877192983,45.3231578947368,47.8017415166627,45.6651900032386,0.776299010567349
"North East","Female",54,"50-54",2019,58,"US",47.6381034482759,45.1689655172414,46.4862293517028,46.1373437628034,0.765284738237341
"North East","Female",59,"55-59",2019,61,"US",48.5375409836066,47.7931147540984,47.1227852064003,47.7394201820666,0.78802469347362
"North East","Female",64,"60-64",2019,67,"US",42.5731343283582,49.5791044776119,42.2171513238507,49.57058823309,0.749754251461434
"North East","Female",69,"65-69",2019,52,"US",44.0496153846154,49.8034615384615,43.1733425311223,51.1432286222499,0.774639481853822
"North East","Female",74,"70-74",2019,46,"US",39.7676086956522,50.8210869565217,39.0880624317866,50.4693758570001,0.722578088361643
"North East","Female",79,"75-79",2019,30,"US",38.4656666666667,50.0926666666667,36.0064008566997,50.990522903399,0.689783290420174
"North East","Female",84,"80-84",2019,16,"US",40.27375,47.65625,41.4087534435977,49.1041466530289,0.736214044000724
"North East","Female",85,"85_plus",2019,15,"US",35.858,53.0773333333333,36.7464725658649,51.4069244978637,0.703220323650939
"North East","Male",20,"under_20",2019,23,"US",54.9821739130435,48.584347826087,53.6466160265119,52.1191025157945,0.90573858969272
"North East","Male",24,"20-24",2019,19,"US",55.1373684210526,47.6415789473684,56.7852654877787,46.3533668519634,0.90836167559837
"North East","Male",29,"25-29",2019,28,"US",51.8878571428571,45.8525,51.8455971718254,50.5575530588265,0.869833615300264
